,accountantId,cohort,total,m,count_org
887,D3399A6C,8,60.0,9,2
888,D33AAADC,8,90.0,8,5
889,D33AAADC,8,90.0,9,229
890,D3AAED36,4,150.0,5,78
891,D3AAED36,4,150.0,9,7
892,D3CEB8C5,7,30.0,7,29
893,D3CEB8C5,7,30.0,8,1
894,D4B7A3A2,8,15.0,8,29
895,D55963F4,3,60.0,3,52
896,D6A2F9CB,7,400.0,9,318
897,D6C6C4AC,5,60.0,5,31
898,D6C6C4AC,5,60.0,6,2
899,D6C6C4AC,5,60.0,8,4
900,D6C6C4AC,5,60.0,9,1
901,D6E48F99,5,70.0,6,80
902,D76396D2,8,50.0,8,1
903,D76396D2,8,50.0,9,43
904,D7CCAC3F,5,100.0,5,67
905,D7CCAC3F,5,100.0,6,11
906,D7CCAC3F,5,100.0,7,3
907,D7CCAC3F,5,100.0,9,1
908,D832669C,6,50.0,6,30
909,D832669C,6,50.0,7,6
910,D832669C,6,50.0,8,1
911,D832669C,6,50.0,9,3
912,D8E248FF,8,80.0,8,103
913,D8EA66F5,7,320.0,7,296
914,D8EA66F5,7,320.0,8,1
915,D9C63A2A,6,260.0,7,104
916,D9C63A2A,6,260.0,8,132
917,D9EC88AE,8,400.0,8,223
918,D9EC88AE,8,400.0,9,1
919,D9ECA582,7,170.0,7,147
920,DA2DA97C,8,110.0,8,1
921,DA2DA97C,8,110.0,9,102
922,DAA23BC5,5,80.0,5,53
923,DAA23BC5,5,80.0,6,11
924,DAAFB93C,7,30.0,7,1
925,DAAFB93C,7,30.0,8,29
926,DC2C47CC,8,120.0,8,11
927,DC2C47CC,8,120.0,9,162
928,DC5CA6FC,5,100.0,5,75
929,DC5CA6FC,5,100.0,7,10
930,DC5CA6FC,5,100.0,8,9
931,DC5CA6FC,5,100.0,9,1
932,DC795DEC,8,125.0,9,177
933,DCA2933C,7,400.0,7,354
934,DCA2933C,7,400.0,8,42
935,DCA2933C,7,400.0,9,26
936,DCE35B2D,9,60.0,8,74
937,DCE35B2D,9,60.0,9,18
938,DCFACCC7,8,150.0,8,1
939,DCFACCC7,8,150.0,9,115
940,DCFE932F,8,35.0,8,31
941,DCFE932F,8,35.0,9,2
942,DD6DA49C,7,200.0,8,179
943,DDA2EE34,8,50.0,8,142
944,DDA2EE34,8,50.0,9,7
